EventCode,UMask,EventName,Description,Counter,OverFlow,MSRIndex,MSRValue,PreciseEvent,Invert,AnyThread,EdgeDetect
"0x51","0x01","L1D.REPLACEMENT","This event counts L1D data line replacements including opportunistic replacements, and replacements that require stall-for-replace or block-for-replace.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x54","0x01","TX_MEM.ABORT_CONFLICT","Number of times a transactional abort was signaled due to a data conflict on a transactionally accessed address","0,1,2,3","2000003","0","0","0","0","0","0"
"0x54","0x02","TX_MEM.ABORT_CAPACITY_WRITE","Number of times a transactional abort was signaled due to a data capacity limitation for transactional writes.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x54","0x04","TX_MEM.ABORT_HLE_STORE_TO_ELIDED_LOCK","Number of times a HLE transactional region aborted due to a non XRELEASE prefixed instruction writing to an elided lock in the elision buffer","0,1,2,3","2000003","0","0","0","0","0","0"
"0x54","0x08","TX_MEM.ABORT_HLE_ELISION_BUFFER_NOT_EMPTY","Number of times an HLE transactional execution aborted due to NoAllocatedElisionBuffer being non-zero.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x54","0x10","TX_MEM.ABORT_HLE_ELISION_BUFFER_MISMATCH","Number of times an HLE transactional execution aborted due to XRELEASE lock not satisfying the address and value requirements in the elision buffer","0,1,2,3","2000003","0","0","0","0","0","0"
"0x54","0x20","TX_MEM.ABORT_HLE_ELISION_BUFFER_UNSUPPORTED_ALIGNMENT","Number of times an HLE transactional execution aborted due to an unsupported read alignment from the elision buffer.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x54","0x40","TX_MEM.HLE_ELISION_BUFFER_FULL","Number of times HLE lock could not be elided due to ElisionBufferAvailable being zero.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x58","0x01","MOVE_ELIMINATION.INT_ELIMINATED","Number of integer Move Elimination candidate uops that were eliminated.","0,1,2,3","1000003","0","0","0","0","0","0"
"0x58","0x02","MOVE_ELIMINATION.SIMD_ELIMINATED","Number of SIMD Move Elimination candidate uops that were eliminated.","0,1,2,3","1000003","0","0","0","0","0","0"
"0x58","0x04","MOVE_ELIMINATION.INT_NOT_ELIMINATED","Number of integer Move Elimination candidate uops that were not eliminated.","0,1,2,3","1000003","0","0","0","0","0","0"
"0x58","0x08","MOVE_ELIMINATION.SIMD_NOT_ELIMINATED","Number of SIMD Move Elimination candidate uops that were not eliminated.","0,1,2,3","1000003","0","0","0","0","0","0"
"0x5C","0x01","CPL_CYCLES.RING0","This event counts the unhalted core cycles during which the thread is in the ring 0 privileged mode.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x5C","0x02","CPL_CYCLES.RING123","This event counts unhalted core cycles during which the thread is in rings 1, 2, or 3.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x5C","0x01","CPL_CYCLES.RING0_TRANS","This event counts when there is a transition from ring 1,2 or 3 to ring0.","0,1,2,3","100007","0","0","0","0","0","1"
"0x5d","0x01","TX_EXEC.MISC1","Counts the number of times a class of instructions that may cause a transactional abort was executed. Since this is the count of execution, it may not always cause a transactional abort.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x5d","0x02","TX_EXEC.MISC2","Counts the number of times a class of instructions (e.g., vzeroupper) that may cause a transactional abort was executed inside a transactional region","0,1,2,3","2000003","0","0","0","0","0","0"
"0x5d","0x04","TX_EXEC.MISC3","Counts the number of times an instruction execution caused the transactional nest count supported to be exceeded","0,1,2,3","2000003","0","0","0","0","0","0"
"0x5d","0x08","TX_EXEC.MISC4","Counts the number of times a XBEGIN instruction was executed inside an HLE transactional region.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x5d","0x10","TX_EXEC.MISC5","Counts the number of times an HLE XACQUIRE instruction was executed inside an RTM transactional region","0,1,2,3","2000003","0","0","0","0","0","0"
"0x5E","0x01","RS_EVENTS.EMPTY_CYCLES","This event counts cycles during which the reservation station (RS) is empty for the thread.
Note: In ST-mode, not active thread should drive 0. This is usually caused by severely costly branch mispredictions, or allocator/FE issues.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x60","0x01","OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD","This event counts the number of offcore outstanding Demand Data Read transactions in the super queue (SQ) every cycle. A transaction is considered to be in the Offcore outstanding state between L2 miss and transaction completion sent to requestor. See the corresponding Umask under OFFCORE_REQUESTS.
Note: A prefetch promoted to Demand is counted from the promotion point.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x60","0x02","OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD","This event counts the number of offcore outstanding Code Reads transactions in the super queue every cycle. The Offcore outstanding state of the transaction lasts from the L2 miss until the sending transaction completion to requestor (SQ deallocation). See the corresponding Umask under OFFCORE_REQUESTS.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x60","0x04","OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO","This event counts the number of offcore outstanding RFO (store) transactions in the super queue (SQ) every cycle. A transaction is considered to be in the Offcore outstanding state between L2 miss and transaction completion sent to requestor (SQ de-allocation). See corresponding Umask under OFFCORE_REQUESTS.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x60","0x08","OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD","This event counts the number of offcore outstanding cacheable Core Data Read transactions in the super queue every cycle. A transaction is considered to be in the Offcore outstanding state between L2 miss and transaction completion sent to requestor (SQ de-allocation). See corresponding Umask under OFFCORE_REQUESTS.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x60","0x01","OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD","This event counts cycles when offcore outstanding Demand Data Read transactions are present in the super queue (SQ). A transaction is considered to be in the Offcore outstanding state between L2 miss and transaction completion sent to requestor (SQ de-allocation).","0,1,2,3","2000003","0","0","0","0","0","0"
"0x60","0x08","OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD","This event counts cycles when offcore outstanding cacheable Core Data Read transactions are present in the super queue. A transaction is considered to be in the Offcore outstanding state between L2 miss and transaction completion sent to requestor (SQ de-allocation). See corresponding Umask under OFFCORE_REQUESTS.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x63","0x01","LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION","This event counts cycles in which the L1 and L2 are locked due to a UC lock or split lock. A lock is asserted in case of locked memory access, due to noncacheable memory, locked operation that spans two cache lines, or a page walk from the noncacheable page table. L1D and L2 locks have a very high performance penalty and it is highly recommended to avoid such access.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x63","0x02","LOCK_CYCLES.CACHE_LOCK_DURATION","This event counts the number of cycles when the L1D is locked. It is a superset of the 0x1 mask (BUS_LOCK_CLOCKS.BUS_LOCK_DURATION).","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x02","IDQ.EMPTY","This counts the number of cycles that the instruction decoder queue is empty and can indicate that the application may be bound in the front end.  It does not determine whether there are uops being delivered to the Alloc stage since uops can be delivered by bypass skipping the Instruction Decode Queue (IDQ) when it is empty.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x04","IDQ.MITE_UOPS","This event counts the number of uops delivered to Instruction Decode Queue (IDQ) from the MITE path. Counting includes uops that may bypass the IDQ. This also means that uops are not being delivered from the Decode Stream Buffer (DSB).","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x08","IDQ.DSB_UOPS","This event counts the number of uops delivered to Instruction Decode Queue (IDQ) from the Decode Stream Buffer (DSB) path. Counting includes uops that may bypass the IDQ.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x10","IDQ.MS_DSB_UOPS","This event counts the number of uops initiated by Decode Stream Buffer (DSB) that are being delivered to Instruction Decode Queue (IDQ) while the Microcode Sequencer (MS) is busy. Counting includes uops that may bypass the IDQ.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x20","IDQ.MS_MITE_UOPS","This event counts the number of uops initiated by MITE and delivered to Instruction Decode Queue (IDQ) while the Microcode Sequenser (MS) is busy. Counting includes uops that may bypass the IDQ.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x30","IDQ.MS_UOPS","This event counts the total number of uops delivered to Instruction Decode Queue (IDQ) while the Microcode Sequenser (MS) is busy. Counting includes uops that may bypass the IDQ. Uops maybe initiated by Decode Stream Buffer (DSB) or MITE.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x30","IDQ.MS_CYCLES","This event counts cycles during which uops are being delivered to Instruction Decode Queue (IDQ) while the Microcode Sequenser (MS) is busy. Counting includes uops that may bypass the IDQ. Uops maybe initiated by Decode Stream Buffer (DSB) or MITE.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x04","IDQ.MITE_CYCLES","This event counts cycles during which uops are being delivered to Instruction Decode Queue (IDQ) from the MITE path. Counting includes uops that may bypass the IDQ.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x08","IDQ.DSB_CYCLES","This event counts cycles during which uops are being delivered to Instruction Decode Queue (IDQ) from the Decode Stream Buffer (DSB) path. Counting includes uops that may bypass the IDQ.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x10","IDQ.MS_DSB_CYCLES","This event counts cycles during which uops initiated by Decode Stream Buffer (DSB) are being delivered to Instruction Decode Queue (IDQ) while the Microcode Sequencer (MS) is busy. Counting includes uops that may bypass the IDQ.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x10","IDQ.MS_DSB_OCCUR","This event counts the number of deliveries to Instruction Decode Queue (IDQ) initiated by Decode Stream Buffer (DSB) while the Microcode Sequencer (MS) is busy. Counting includes uops that may bypass the IDQ.","0,1,2,3","2000003","0","0","0","0","0","1"
"0x79","0x18","IDQ.ALL_DSB_CYCLES_4_UOPS","This event counts the number of cycles 4  uops were  delivered to Instruction Decode Queue (IDQ) from the Decode Stream Buffer (DSB) path. Counting includes uops that may bypass the IDQ.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x18","IDQ.ALL_DSB_CYCLES_ANY_UOPS","This event counts the number of cycles  uops were  delivered to Instruction Decode Queue (IDQ) from the Decode Stream Buffer (DSB) path. Counting includes uops that may bypass the IDQ.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x24","IDQ.ALL_MITE_CYCLES_4_UOPS","This event counts the number of cycles 4  uops were  delivered to Instruction Decode Queue (IDQ) from the MITE path. Counting includes uops that may bypass the IDQ. This also means that uops are not being delivered from the Decode Stream Buffer (DSB).","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x24","IDQ.ALL_MITE_CYCLES_ANY_UOPS","This event counts the number of cycles  uops were delivered to Instruction Decode Queue (IDQ) from the MITE path. Counting includes uops that may bypass the IDQ. This also means that uops are not being delivered from the Decode Stream Buffer (DSB).","0,1,2,3","2000003","0","0","0","0","0","0"
"0x79","0x3c","IDQ.MITE_ALL_UOPS","This event counts the number of uops delivered to Instruction Decode Queue (IDQ) from the MITE path. Counting includes uops that may bypass the IDQ. This also means that uops are not being delivered from the Decode Stream Buffer (DSB).","0,1,2,3","2000003","0","0","0","0","0","0"
"0x80","0x02","ICACHE.MISSES","This event counts the number of instruction cache, streaming buffer and victim cache misses. Counting includes UC accesses.","0,1,2,3","200003","0","0","0","0","0","0"
"0x85","0x01","ITLB_MISSES.MISS_CAUSES_A_WALK","This event counts store misses in all DTLB levels that cause page walks of any page size (4K/2M/4M/1G).","0,1,2,3","100003","0","0","0","0","0","0"
"0x85","0x02","ITLB_MISSES.WALK_COMPLETED_4K","This event counts store misses in all DTLB levels that cause a completed page walk (4K page size). The page walk can end with or without a fault.","0,1,2,3","100003","0","0","0","0","0","0"
"0x85","0x04","ITLB_MISSES.WALK_COMPLETED_2M_4M","This event counts store misses in all DTLB levels that cause a completed page walk (2M and 4M page sizes). The page walk can end with or without a fault.","0,1,2,3","100003","0","0","0","0","0","0"
"0x85","0x10","ITLB_MISSES.WALK_DURATION","This event counts the number of cycles while PMH is busy with the page walk.","0,1,2,3","100003","0","0","0","0","0","0"
"0x85","0x20","ITLB_MISSES.STLB_HIT_4K","Core misses that miss the  DTLB and hit the STLB (4K)","0,1,2,3","100003","0","0","0","0","0","0"
"0x85","0x40","ITLB_MISSES.STLB_HIT_2M","Code misses that miss the  DTLB and hit the STLB (2M)","0,1,2,3","100003","0","0","0","0","0","0"
"0x87","0x01","ILD_STALL.LCP","This event counts stalls occured due to changing prefix length (66, 67 or REX.W when they change the length of the decoded instruction). Occurrences counting is proportional to the number of prefixes in a 16B-line. This may result in the following penalties: three-cycle penalty for each LCP in a 16-byte chunk.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x87","0x04","ILD_STALL.IQ_FULL","This event counts stall cycles when instructions cannot be written because IQ is full.
Note: If there is no Resource Allocation Table (RAT) stalls, it indicates the decoders issue.","0,1,2,3","2000003","0","0","0","0","0","0"
"0x88","0x41","BR_INST_EXEC.NONTAKEN_CONDITIONAL","This event counts not taken macro-conditional branch instructions.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0x81","BR_INST_EXEC.TAKEN_CONDITIONAL","This event counts taken speculative and retired macro-conditional branch instructions.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0x82","BR_INST_EXEC.TAKEN_DIRECT_JUMP","This event counts taken speculative and retired macro-conditional branch instructions excluding calls and indirect branches.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0x84","BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET","This event counts taken speculative and retired indirect branches excluding calls and return branches.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0x88","BR_INST_EXEC.TAKEN_INDIRECT_NEAR_RETURN","This event counts taken speculative and retired indirect branches that have a return mnemonic.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0x90","BR_INST_EXEC.TAKEN_DIRECT_NEAR_CALL","This event counts taken speculative and retired direct near calls.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0xA0","BR_INST_EXEC.TAKEN_INDIRECT_NEAR_CALL","This event counts taken speculative and retired indirect calls including both register and memory indirect.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0xC1","BR_INST_EXEC.ALL_CONDITIONAL","This event counts both taken and not taken speculative and retired macro-conditional branch instructions.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0xC2","BR_INST_EXEC.ALL_DIRECT_JMP","This event counts both taken and not taken speculative and retired macro-unconditional branch instructions, excluding calls and indirects.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0xC4","BR_INST_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET","This event counts both taken and not taken speculative and retired indirect branches excluding calls and return branches.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0xC8","BR_INST_EXEC.ALL_INDIRECT_NEAR_RETURN","This event counts both taken and not taken speculative and retired indirect branches that have a return mnemonic.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0xD0","BR_INST_EXEC.ALL_DIRECT_NEAR_CALL","This event counts both taken and not taken speculative and retired direct near calls.","0,1,2,3","200003","0","0","0","0","0","0"
"0x88","0xFF","BR_INST_EXEC.ALL_BRANCHES","This event counts both taken and not taken speculative and retired branch instructions.","0,1,2,3","200003","0","0","0","0","0","0"
"0x89","0x41","BR_MISP_EXEC.NONTAKEN_CONDITIONAL","This event counts not taken speculative and retired mispredicted macro conditional branch instructions.","0,1,2,3","200003","0","0","0","0","0","0"
"0x89","0x81","BR_MISP_EXEC.TAKEN_CONDITIONAL","This event counts taken speculative and retired mispredicted macro conditional branch instructions.","0,1,2,3","200003","0","0","0","0","0","0"
"0x89","0x84","BR_MISP_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET","This event counts taken speculative and retired mispredicted indirect branches excluding calls and returns. ","0,1,2,3","200003","0","0","0","0","0","0"
"0x89","0x88","BR_MISP_EXEC.TAKEN_RETURN_NEAR","This event counts taken speculative and retired mispredicted indirect branches that have a return mnemonic.","0,1,2,3","200003","0","0","0","0","0","0"
"0x89","0xC1","BR_MISP_EXEC.ALL_CONDITIONAL","This event counts both taken and not taken speculative and retired mispredicted macro conditional branch instructions.","0,1,2,3","200003","0","0","0","0","0","0"
"0x89","0xC4","BR_MISP_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET","This event counts both taken and not taken mispredicted indirect branches excluding calls and returns.","0,1,2,3","200003","0","0","0","0","0","0"
