Event_Name,Code,UMask,Counter,Description,Counter_Mask,Invert,AnyThread,Edge_Detect,PEBS
L2_LD.SELF.DEMAND.I_STATE,0x29,0x41,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.DEMAND.M_STATE,0x29,0x48,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.DEMAND.S_STATE,0x29,0x42,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.DEMAND.MESI,0x29,0x4F,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.PREFETCH.E_STATE,0x29,0x54,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.PREFETCH.I_STATE,0x29,0x51,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.PREFETCH.M_STATE,0x29,0x58,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.PREFETCH.S_STATE,0x29,0x52,"0,1","L2 cache reads",0,0,0,0,0
L2_LD.SELF.PREFETCH.MESI,0x29,0x5F,"0,1","L2 cache reads",0,0,0,0,0
L2_ST.SELF.E_STATE,0x2A,0x44,"0,1","L2 store requests",0,0,0,0,0
L2_ST.SELF.I_STATE,0x2A,0x41,"0,1","L2 store requests",0,0,0,0,0
L2_ST.SELF.M_STATE,0x2A,0x48,"0,1","L2 store requests",0,0,0,0,0
L2_ST.SELF.S_STATE,0x2A,0x42,"0,1","L2 store requests",0,0,0,0,0
L2_ST.SELF.MESI,0x2A,0x4F,"0,1","L2 store requests",0,0,0,0,0
L2_LOCK.SELF.E_STATE,0x2B,0x44,"0,1","L2 locked accesses",0,0,0,0,0
L2_LOCK.SELF.I_STATE,0x2B,0x41,"0,1","L2 locked accesses",0,0,0,0,0
L2_LOCK.SELF.M_STATE,0x2B,0x48,"0,1","L2 locked accesses",0,0,0,0,0
L2_LOCK.SELF.S_STATE,0x2B,0x42,"0,1","L2 locked accesses",0,0,0,0,0
L2_LOCK.SELF.MESI,0x2B,0x4F,"0,1","L2 locked accesses",0,0,0,0,0
L2_DATA_RQSTS.SELF.E_STATE,0x2C,0x44,"0,1","All data requests from the L1 data cache",0,0,0,0,0
L2_DATA_RQSTS.SELF.I_STATE,0x2C,0x41,"0,1","All data requests from the L1 data cache",0,0,0,0,0
L2_DATA_RQSTS.SELF.M_STATE,0x2C,0x48,"0,1","All data requests from the L1 data cache",0,0,0,0,0
L2_DATA_RQSTS.SELF.S_STATE,0x2C,0x42,"0,1","All data requests from the L1 data cache",0,0,0,0,0
L2_DATA_RQSTS.SELF.MESI,0x2C,0x4F,"0,1","All data requests from the L1 data cache",0,0,0,0,0
L2_LD_IFETCH.SELF.E_STATE,0x2D,0x44,"0,1","All read requests from L1 instruction and data caches",0,0,0,0,0
L2_LD_IFETCH.SELF.I_STATE,0x2D,0x41,"0,1","All read requests from L1 instruction and data caches",0,0,0,0,0
L2_LD_IFETCH.SELF.M_STATE,0x2D,0x48,"0,1","All read requests from L1 instruction and data caches",0,0,0,0,0
L2_LD_IFETCH.SELF.S_STATE,0x2D,0x42,"0,1","All read requests from L1 instruction and data caches",0,0,0,0,0
L2_LD_IFETCH.SELF.MESI,0x2D,0x4F,"0,1","All read requests from L1 instruction and data caches",0,0,0,0,0
L2_RQSTS.SELF.ANY.E_STATE,0x2E,0x74,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.ANY.I_STATE,0x2E,0x71,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.ANY.M_STATE,0x2E,0x78,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.ANY.S_STATE,0x2E,0x72,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.ANY.MESI,0x2E,0x7F,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.E_STATE,0x2E,0x44,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.I_STATE,0x2E,0x41,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.M_STATE,0x2E,0x48,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.S_STATE,0x2E,0x42,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.MESI,0x2E,0x4F,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.PREFETCH.E_STATE,0x2E,0x54,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.PREFETCH.I_STATE,0x2E,0x51,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.PREFETCH.M_STATE,0x2E,0x58,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.PREFETCH.S_STATE,0x2E,0x52,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.PREFETCH.MESI,0x2E,0x5F,"0,1","L2 cache requests",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.I_STATE,0x2E,0x41,"0,1","L2 cache demand requests from this core that missed the L2",0,0,0,0,0
L2_RQSTS.SELF.DEMAND.MESI,0x2E,0x4F,"0,1","L2 cache demand requests from this core",0,0,0,0,0
L2_REJECT_BUSQ.SELF.ANY.E_STATE,0x30,0x74,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.ANY.I_STATE,0x30,0x71,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.ANY.M_STATE,0x30,0x78,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.ANY.S_STATE,0x30,0x72,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.ANY.MESI,0x30,0x7F,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.DEMAND.E_STATE,0x30,0x44,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.DEMAND.I_STATE,0x30,0x41,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.DEMAND.M_STATE,0x30,0x48,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.DEMAND.S_STATE,0x30,0x42,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.DEMAND.MESI,0x30,0x4F,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.PREFETCH.E_STATE,0x30,0x54,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.PREFETCH.I_STATE,0x30,0x51,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.PREFETCH.M_STATE,0x30,0x58,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.PREFETCH.S_STATE,0x30,0x52,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_REJECT_BUSQ.SELF.PREFETCH.MESI,0x30,0x5F,"0,1","Rejected L2 cache requests",0,0,0,0,0
L2_NO_REQ.SELF,0x32,0x40,"0,1","Cycles no L2 cache requests are pending",0,0,0,0,0
EIST_TRANS,0x3A,0x0,"0,1","Number of Enhanced Intel SpeedStep(R) Technology (EIST) transitions",0,0,0,0,0
THERMAL_TRIP,0x3B,0xC0,"0,1","Number of thermal trips",0,0,0,0,0
CPU_CLK_UNHALTED.CORE_P,0x3C,0x0,"0,1","Core cycles when core is not halted",0,0,0,0,0
CPU_CLK_UNHALTED.BUS,0x3C,0x1,"0,1","Bus cycles when core is not halted",0,0,0,0,0
CPU_CLK_UNHALTED.CORE,0xA,0x0,33,"Core cycles when core is not halted",0,0,0,0,0
CPU_CLK_UNHALTED.REF,0xA,0x0,34,"Reference cycles when core is not halted.",0,0,0,0,0
L1D_CACHE.LD,0x40,0xA1,"0,1","L1 Cacheable Data Reads",0,0,0,0,0
L1D_CACHE.ST,0x40,0xA2,"0,1","L1 Cacheable Data Writes",0,0,0,0,0
L1D_CACHE.ALL_REF,0x40,0x83,"0,1","L1 Data reads and writes",0,0,0,0,0
L1D_CACHE.ALL_CACHE_REF,0x40,0xA3,"0,1","L1 Data Cacheable reads and writes",0,0,0,0,0
L1D_CACHE.REPL,0x40,0x8,"0,1","L1 Data line replacements",0,0,0,0,0
L1D_CACHE.REPLM,0x40,0x48,"0,1","Modified cache lines allocated in the L1 data cache",0,0,0,0,0
L1D_CACHE.EVICT,0x40,0x10,"0,1","Modified cache lines evicted from the L1 data cache",0,0,0,0,0
BUS_REQUEST_OUTSTANDING.ALL_AGENTS,0x60,0xE0,"0,1","Outstanding cacheable data read bus requests duration.",0,0,0,0,0
BUS_REQUEST_OUTSTANDING.SELF,0x60,0x40,"0,1","Outstanding cacheable data read bus requests duration.",0,0,0,0,0
BUS_BNR_DRV.ALL_AGENTS,0x61,0x20,"0,1","Number of Bus Not Ready signals asserted.",0,0,0,0,0
BUS_BNR_DRV.THIS_AGENT,0x61,0x0,"0,1","Number of Bus Not Ready signals asserted.",0,0,0,0,0
BUS_DRDY_CLOCKS.ALL_AGENTS,0x62,0x20,"0,1","Bus cycles when data is sent on the bus.",0,0,0,0,0
BUS_DRDY_CLOCKS.THIS_AGENT,0x62,0x0,"0,1","Bus cycles when data is sent on the bus.",0,0,0,0,0
BUS_LOCK_CLOCKS.ALL_AGENTS,0x63,0xE0,"0,1","Bus cycles when a LOCK signal is asserted.",0,0,0,0,0
BUS_LOCK_CLOCKS.SELF,0x63,0x40,"0,1","Bus cycles when a LOCK signal is asserted.",0,0,0,0,0
BUS_DATA_RCV.SELF,0x64,0x40,"0,1","Bus cycles while processor receives data.",0,0,0,0,0
BUS_TRANS_BRD.ALL_AGENTS,0x65,0xE0,"0,1","Burst read bus transactions.",0,0,0,0,0
BUS_TRANS_BRD.SELF,0x65,0x40,"0,1","Burst read bus transactions.",0,0,0,0,0
BUS_TRANS_RFO.ALL_AGENTS,0x66,0xE0,"0,1","RFO bus transactions.",0,0,0,0,0
BUS_TRANS_RFO.SELF,0x66,0x40,"0,1","RFO bus transactions.",0,0,0,0,0
BUS_TRANS_WB.ALL_AGENTS,0x67,0xE0,"0,1","Explicit writeback bus transactions.",0,0,0,0,0
BUS_TRANS_WB.SELF,0x67,0x40,"0,1","Explicit writeback bus transactions.",0,0,0,0,0
BUS_TRANS_IFETCH.ALL_AGENTS,0x68,0xE0,"0,1","Instruction-fetch bus transactions.",0,0,0,0,0
BUS_TRANS_IFETCH.SELF,0x68,0x40,"0,1","Instruction-fetch bus transactions.",0,0,0,0,0
BUS_TRANS_INVAL.ALL_AGENTS,0x69,0xE0,"0,1","Invalidate bus transactions.",0,0,0,0,0
BUS_TRANS_INVAL.SELF,0x69,0x40,"0,1","Invalidate bus transactions.",0,0,0,0,0
BUS_TRANS_PWR.ALL_AGENTS,0x6A,0xE0,"0,1","Partial write bus transaction.",0,0,0,0,0
BUS_TRANS_PWR.SELF,0x6A,0x40,"0,1","Partial write bus transaction.",0,0,0,0,0
BUS_TRANS_P.ALL_AGENTS,0x6B,0xE0,"0,1","Partial bus transactions.",0,0,0,0,0
BUS_TRANS_P.SELF,0x6B,0x40,"0,1","Partial bus transactions.",0,0,0,0,0
BUS_TRANS_IO.ALL_AGENTS,0x6C,0xE0,"0,1","IO bus transactions.",0,0,0,0,0
BUS_TRANS_IO.SELF,0x6C,0x40,"0,1","IO bus transactions.",0,0,0,0,0
BUS_TRANS_DEF.ALL_AGENTS,0x6D,0xE0,"0,1","Deferred bus transactions.",0,0,0,0,0
BUS_TRANS_DEF.SELF,0x6D,0x40,"0,1","Deferred bus transactions.",0,0,0,0,0
BUS_TRANS_BURST.ALL_AGENTS,0x6E,0xE0,"0,1","Burst (full cache-line) bus transactions.",0,0,0,0,0
BUS_TRANS_BURST.SELF,0x6E,0x40,"0,1","Burst (full cache-line) bus transactions.",0,0,0,0,0
BUS_TRANS_MEM.ALL_AGENTS,0x6F,0xE0,"0,1","Memory bus transactions.",0,0,0,0,0
BUS_TRANS_MEM.SELF,0x6F,0x40,"0,1","Memory bus transactions.",0,0,0,0,0
BUS_TRANS_ANY.ALL_AGENTS,0x70,0xE0,"0,1","All bus transactions.",0,0,0,0,0
BUS_TRANS_ANY.SELF,0x70,0x40,"0,1","All bus transactions.",0,0,0,0,0
EXT_SNOOP.THIS_AGENT.ANY,0x77,0xB,"0,1","External snoops.",0,0,0,0,0
EXT_SNOOP.THIS_AGENT.CLEAN,0x77,0x1,"0,1","External snoops.",0,0,0,0,0
EXT_SNOOP.THIS_AGENT.HIT,0x77,0x2,"0,1","External snoops.",0,0,0,0,0
EXT_SNOOP.THIS_AGENT.HITM,0x77,0x8,"0,1","External snoops.",0,0,0,0,0
EXT_SNOOP.ALL_AGENTS.ANY,0x77,0x2B,"0,1","External snoops.",0,0,0,0,0
EXT_SNOOP.ALL_AGENTS.CLEAN,0x77,0x21,"0,1","External snoops.",0,0,0,0,0
EXT_SNOOP.ALL_AGENTS.HIT,0x77,0x22,"0,1","External snoops.",0,0,0,0,0
EXT_SNOOP.ALL_AGENTS.HITM,0x77,0x28,"0,1","External snoops.",0,0,0,0,0
BUS_HIT_DRV.ALL_AGENTS,0x7A,0x20,"0,1","HIT signal asserted.",0,0,0,0,0
BUS_HIT_DRV.THIS_AGENT,0x7A,0x0,"0,1","HIT signal asserted.",0,0,0,0,0
BUS_HITM_DRV.ALL_AGENTS,0x7B,0x20,"0,1","HITM signal asserted.",0,0,0,0,0
BUS_HITM_DRV.THIS_AGENT,0x7B,0x0,"0,1","HITM signal asserted.",0,0,0,0,0
BUSQ_EMPTY.SELF,0x7D,0x40,"0,1","Bus queue is empty.",0,0,0,0,0
SNOOP_STALL_DRV.ALL_AGENTS,0x7E,0xE0,"0,1","Bus stalled for snoops.",0,0,0,0,0
SNOOP_STALL_DRV.SELF,0x7E,0x40,"0,1","Bus stalled for snoops.",0,0,0,0,0
BUS_IO_WAIT.SELF,0x7F,0x40,"0,1","IO requests waiting in the bus queue.",0,0,0,0,0
ICACHE.ACCESSES,0x80,0x3,"0,1","Instruction fetches.",0,0,0,0,0
ICACHE.HIT,0x80,0x1,"0,1","Icache hit",0,0,0,0,0
ICACHE.MISSES,0x80,0x2,"0,1","Icache miss",0,0,0,0,0
ITLB.HIT,0x82,0x1,"0,1","ITLB hits.",0,0,0,0,0
ITLB.FLUSH,0x82,0x4,"0,1","ITLB flushes.",0,0,0,0,0
ITLB.MISSES,0x82,0x2,"0,1","ITLB misses.",0,0,0,0,1
CYCLES_ICACHE_MEM_STALLED.ICACHE_MEM_STALLED,0x86,0x1,"0,1","Cycles during which instruction fetches are  stalled.",0,0,0,0,0
DECODE_STALL.PFB_EMPTY,0x87,0x1,"0,1","Decode stall due to PFB empty",0,0,0,0,0
DECODE_STALL.IQ_FULL,0x87,0x2,"0,1","Decode stall due to IQ full",0,0,0,0,0
BR_INST_TYPE_RETIRED.COND,0x88,0x1,"0,1","All macro conditional branch instructions.",0,0,0,0,0
BR_INST_TYPE_RETIRED.UNCOND,0x88,0x2,"0,1","All macro unconditional branch instructions, excluding calls and indirects",0,0,0,0,0
BR_INST_TYPE_RETIRED.IND,0x88,0x4,"0,1","All indirect branches that are not calls.",0,0,0,0,0
BR_INST_TYPE_RETIRED.RET,0x88,0x8,"0,1","All indirect branches that have a return mnemonic",0,0,0,0,0
BR_INST_TYPE_RETIRED.DIR_CALL,0x88,0x10,"0,1","All non-indirect calls",0,0,0,0,0
BR_INST_TYPE_RETIRED.IND_CALL,0x88,0x20,"0,1","All indirect calls, including both register and memory indirect.",0,0,0,0,0
BR_INST_TYPE_RETIRED.COND_TAKEN,0x88,0x41,"0,1","Only taken macro conditional branch instructions",0,0,0,0,0
BR_MISSP_TYPE_RETIRED.COND,0x89,0x1,"0,1","Mispredicted cond branch instructions retired",0,0,0,0,0
BR_MISSP_TYPE_RETIRED.IND,0x89,0x2,"0,1","Mispredicted ind branches that are not calls",0,0,0,0,0
BR_MISSP_TYPE_RETIRED.RETURN,0x89,0x4,"0,1","Mispredicted return branches",0,0,0,0,0
BR_MISSP_TYPE_RETIRED.IND_CALL,0x89,0x8,"0,1","Mispredicted indirect calls, including both register and memory indirect. ",0,0,0,0,0
BR_MISSP_TYPE_RETIRED.COND_TAKEN,0x89,0x11,"0,1","Mispredicted and taken cond branch instructions retired",0,0,0,0,0
MACRO_INSTS.NON_CISC_DECODED,0xAA,0x1,"0,1","Non-CISC nacro instructions decoded",0,0,0,0,0
MACRO_INSTS.CISC_DECODED,0xAA,0x2,"0,1","CISC macro instructions decoded",0,0,0,0,0
MACRO_INSTS.ALL_DECODED,0xAA,0x3,"0,1","All Instructions decoded",0,0,0,0,0
SIMD_UOPS_EXEC.S,0xB0,0x0,"0,1","SIMD micro-ops executed (excluding stores).",0,0,0,0,0
SIMD_UOPS_EXEC.AR,0xB0,0x80,"0,1","SIMD micro-ops retired (excluding stores).",0,0,0,0,1
SIMD_SAT_UOP_EXEC.S,0xB1,0x0,"0,1","SIMD saturated arithmetic micro-ops executed.",0,0,0,0,0
SIMD_SAT_UOP_EXEC.AR,0xB1,0x80,"0,1","SIMD saturated arithmetic micro-ops retired.",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.MUL.S,0xB3,0x1,"0,1","SIMD packed multiply micro-ops executed",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.MUL.AR,0xB3,0x81,"0,1","SIMD packed multiply micro-ops retired",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.SHIFT.S,0xB3,0x2,"0,1","SIMD packed shift micro-ops executed",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.SHIFT.AR,0xB3,0x82,"0,1","SIMD packed shift micro-ops retired",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.PACK.S,0xB3,0x4,"0,1","SIMD packed micro-ops executed",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.PACK.AR,0xB3,0x84,"0,1","SIMD packed micro-ops retired",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.UNPACK.S,0xB3,0x8,"0,1","SIMD unpacked micro-ops executed",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.UNPACK.AR,0xB3,0x88,"0,1","SIMD unpacked micro-ops retired",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.LOGICAL.S,0xB3,0x10,"0,1","SIMD packed logical micro-ops executed",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.LOGICAL.AR,0xB3,0x90,"0,1","SIMD packed logical micro-ops retired",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.ARITHMETIC.S,0xB3,0x20,"0,1","SIMD packed arithmetic micro-ops executed",0,0,0,0,0
SIMD_UOP_TYPE_EXEC.ARITHMETIC.AR,0xB3,0xA0,"0,1","SIMD packed arithmetic micro-ops retired",0,0,0,0,0
INST_RETIRED.ANY_P,0xC0,0x0,"0,1","Instructions retired (precise event).",0,0,0,0,1
INST_RETIRED.ANY,0xA,0x0,"FIXED COUNTER 1","Instructions retired.",0,0,0,0,0
UOPS_RETIRED.ANY,0xC2,0x10,"0,1","Micro-ops retired.",0,0,0,0,0
UOPS_RETIRED.STALLED_CYCLES,0xC2,0x10,"0,1","Cycles no micro-ops retired.",0,0,0,0,0
UOPS_RETIRED.STALLS,0xC2,0x10,"0,1","Periods no micro-ops retired.",0,0,0,0,0
UOPS.MS_CYCLES,0xA9,0x1,"0,1","This event counts the cycles where 1 or more uops are issued by the micro-sequencer (MS), including microcode assists and inserted flows, and written to the IQ. ",0,0,0,0,0
MACHINE_CLEARS.SMC,0xC3,0x1,"0,1","Self-Modifying Code detected.",0,0,0,0,0
