Event_Name,Code,UMask,Counter,Counter_HT_Off,Description,MSR_Index,MSR_Value,Taken_Alone,Counter_Mask,Invert,AnyThread,Edge_Detect,PEBS,Errata
IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE,0x9C,0x01,"0,1,2,3","0,1,2,3","Cycles per thread when 4 or more uops are not delivered to Resource Allocation Table (RAT) when backend of the machine is not stalled ",0,0,0,4,0,0,0,0,0
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_1_UOP_DELIV.CORE,0x9C,0x01,"0,1,2,3","0,1,2,3","Cycles per thread when 3 or more uops are not delivered to Resource Allocation Table (RAT) when backend of the machine is not stalled ",0,0,0,3,0,0,0,0,0
DSB2MITE_SWITCHES.COUNT,0xAB,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Decode Stream Buffer (DSB)-to-MITE switches",0,0,0,0,0,0,0,0,0
DSB2MITE_SWITCHES.PENALTY_CYCLES,0xAB,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Decode Stream Buffer (DSB)-to-MITE switch true penalty cycles",0,0,0,0,0,0,0,0,0
DSB_FILL.OTHER_CANCEL,0xAC,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Cases of cancelling valid DSB fill not because of exceeding way limit",0,0,0,0,0,0,0,0,0
DSB_FILL.EXCEED_DSB_LINES,0xAC,0x08,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles when Decode Stream Buffer (DSB) fill encounter more than 3 Decode Stream Buffer (DSB) lines",0,0,0,0,0,0,0,0,0
INT_MISC.RAT_STALL_CYCLES,0x0D,0x40,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles when Resource Allocation Table (RAT) external stall is sent to Instruction Decode Queue (IDQ) for the thread",0,0,0,0,0,0,0,0,0
PARTIAL_RAT_STALLS.FLAGS_MERGE_UOP,0x59,0x20,"0,1,2,3","0,1,2,3,4,5,6,7","Increments the number of flags-merge uops in flight each cycle.",0,0,0,0,0,0,0,0,0
PARTIAL_RAT_STALLS.SLOW_LEA_WINDOW,0x59,0x40,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles with at least one slow LEA uop being allocated",0,0,0,0,0,0,0,0,0
PARTIAL_RAT_STALLS.MUL_SINGLE_UOP,0x59,0x80,"0,1,2,3","0,1,2,3,4,5,6,7","Multiply packed/scalar single precision uops allocated",0,0,0,0,0,0,0,0,0
RESOURCE_STALLS.ANY,0xA2,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Resource-related stall cycles",0,0,0,0,0,0,0,0,0
RESOURCE_STALLS.LB,0xA2,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Counts the cycles of stall due to lack of load buffers.",0,0,0,0,0,0,0,0,0
RESOURCE_STALLS.RS,0xA2,0x04,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles stalled due to no eligible RS entry available.",0,0,0,0,0,0,0,0,0
RESOURCE_STALLS.SB,0xA2,0x08,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles stalled due to no store buffers available. (not including draining form sync).",0,0,0,0,0,0,0,0,0
RESOURCE_STALLS.ROB,0xA2,0x10,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles stalled due to re-order buffer full.",0,0,0,0,0,0,0,0,0
RESOURCE_STALLS2.BOB_FULL,0x5B,0x40,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles when Allocator is stalled if BOB is full and new branch needs it",0,0,0,0,0,0,0,0,0
UOPS_ISSUED.ANY,0x0E,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Uops that Resource Allocation Table (RAT) issues to Reservation Station (RS)",0,0,0,0,0,0,0,0,0
UOPS_ISSUED.STALL_CYCLES,0x0E,0x01,"0,1,2,3","0,1,2,3","Cycles when Resource Allocation Table (RAT) does not issue Uops to Reservation Station (RS) for the thread",0,0,0,1,1,0,0,0,0
UOPS_ISSUED.CORE_STALL_CYCLES,0x0E,0x01,"0,1,2,3","0,1,2,3","Cycles when Resource Allocation Table (RAT) does not issue Uops to Reservation Station (RS) for all threads",0,0,0,1,1,1,0,0,0
RS_EVENTS.EMPTY_CYCLES,0x5E,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles when Reservation Station (RS) is empty for the thread",0,0,0,0,0,0,0,0,0
CPL_CYCLES.RING0,0x5C,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Unhalted core cycles when the thread is in ring 0",0,0,0,0,0,0,0,0,0
CPL_CYCLES.RING0_TRANS,0x5C,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Number of intervals between processor halts while thread is in ring 0",0,0,0,1,0,0,1,0,0
CPL_CYCLES.RING123,0x5C,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Unhalted core cycles when thread is in rings 1, 2, or 3",0,0,0,0,0,0,0,0,0
ROB_MISC_EVENTS.LBR_INSERTS,0xCC,0x20,"0,1,2,3","0,1,2,3,4,5,6,7","Count cases of saving new LBR",0,0,0,0,0,0,0,0,0
MACHINE_CLEARS.MEMORY_ORDERING,0xC3,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Counts the number of machine clears due to memory order conflicts.",0,0,0,0,0,0,0,0,0
MACHINE_CLEARS.SMC,0xC3,0x04,"0,1,2,3","0,1,2,3,4,5,6,7","Self-modifying code (SMC) detected.",0,0,0,0,0,0,0,0,0
MACHINE_CLEARS.MASKMOV,0xC3,0x20,"0,1,2,3","0,1,2,3,4,5,6,7","This event counts the number of executed Intel AVX masked load operations that refer to an illegal address range with the mask bits set to 0. ",0,0,0,0,0,0,0,0,0
INST_RETIRED.ANY_P,0xC0,0x00,"0,1,2,3","0,1,2,3,4,5,6,7","Number of instructions retired. General Counter   - architectural event",0,0,0,0,0,0,0,0,0
UOPS_RETIRED.ALL,0xC2,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Actually retired uops. ",0,0,0,0,0,0,0,1,0
UOPS_RETIRED.RETIRE_SLOTS,0xC2,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Retirement slots used. ",0,0,0,0,0,0,0,1,0
UOPS_RETIRED.STALL_CYCLES,0xC2,0x01,"0,1,2,3","0,1,2,3","Cycles without actually retired uops. ",0,0,0,1,1,0,0,1,0
UOPS_RETIRED.TOTAL_CYCLES,0xC2,0x01,"0,1,2,3","0,1,2,3","Cycles with less than 10 actually retired uops. ",0,0,0,10,1,0,0,1,0
BR_INST_RETIRED.CONDITIONAL,0xC4,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Conditional branch instructions retired. ",0,0,0,0,0,0,0,1,0
BR_INST_RETIRED.NEAR_CALL,0xC4,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Direct and indirect near call instructions retired. ",0,0,0,0,0,0,0,1,0
BR_INST_RETIRED.ALL_BRANCHES,0xC4,0x00,"0,1,2,3","0,1,2,3,4,5,6,7","All (macro) branch instructions retired.",0,0,0,0,0,0,0,1,0
BR_INST_RETIRED.NEAR_RETURN,0xC4,0x08,"0,1,2,3","0,1,2,3,4,5,6,7","Return instructions retired. ",0,0,0,0,0,0,0,1,0
BR_INST_RETIRED.NOT_TAKEN,0xC4,0x10,"0,1,2,3","0,1,2,3,4,5,6,7","Not taken branch instructions retired. ",0,0,0,0,0,0,0,1,0
BR_INST_RETIRED.NEAR_TAKEN,0xC4,0x20,"0,1,2,3","0,1,2,3,4,5,6,7","Taken branch instructions retired. ",0,0,0,0,0,0,0,1,0
BR_INST_RETIRED.FAR_BRANCH,0xC4,0x40,"0,1,2,3","0,1,2,3,4,5,6,7","Far branch instructions retired. ",0,0,0,0,0,0,0,1,0
BR_MISP_RETIRED.CONDITIONAL,0xC5,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Mispredicted conditional branch instructions retired. ",0,0,0,0,0,0,0,1,0
BR_MISP_RETIRED.NEAR_CALL,0xC5,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Direct and indirect mispredicted near call instructions retired. ",0,0,0,0,0,0,0,1,0
BR_MISP_RETIRED.ALL_BRANCHES,0xC5,0x00,"0,1,2,3","0,1,2,3,4,5,6,7","All mispredicted macro branch instructions retired.",0,0,0,0,0,0,0,1,0
BR_MISP_RETIRED.NOT_TAKEN,0xC5,0x10,"0,1,2,3","0,1,2,3,4,5,6,7","Mispredicted not taken branch instructions retired. ",0,0,0,0,0,0,0,1,0
BR_MISP_RETIRED.TAKEN,0xC5,0x20,"0,1,2,3","0,1,2,3,4,5,6,7","Mispredicted taken branch instructions retired. ",0,0,0,0,0,0,0,1,0
OTHER_ASSISTS.ITLB_MISS_RETIRED,0xC1,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Retired instructions experiencing ITLB misses. ",0,0,0,0,0,0,0,1,0
OTHER_ASSISTS.AVX_STORE,0xC1,0x08,"0,1,2,3","0,1,2,3,4,5,6,7","Number of GSSE memory assist for stores. GSSE microcode assist is being invoked whenever the hardware is unable to properly handle GSSE-256b operations.",0,0,0,0,0,0,0,1,0
OTHER_ASSISTS.AVX_TO_SSE,0xC1,0x10,"0,1,2,3","0,1,2,3,4,5,6,7","Number of transitions from AVX-256 to legacy SSE when penalty applicable.",0,0,0,0,0,0,0,1,0
OTHER_ASSISTS.SSE_TO_AVX,0xC1,0x20,"0,1,2,3","0,1,2,3,4,5,6,7","Number of transitions from SSE to AVX-256 when penalty applicable.",0,0,0,0,0,0,0,1,0
FP_ASSIST.X87_OUTPUT,0xCA,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Number of X87 assists due to output value.",0,0,0,0,0,0,0,1,0
FP_ASSIST.X87_INPUT,0xCA,0x04,"0,1,2,3","0,1,2,3,4,5,6,7","Number of X87 assists due to input value.",0,0,0,0,0,0,0,1,0
FP_ASSIST.SIMD_OUTPUT,0xCA,0x08,"0,1,2,3","0,1,2,3,4,5,6,7","Number of SIMD FP assists due to Output values",0,0,0,0,0,0,0,1,0
FP_ASSIST.SIMD_INPUT,0xCA,0x10,"0,1,2,3","0,1,2,3,4,5,6,7","Number of SIMD FP assists due to input values",0,0,0,0,0,0,0,1,0
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,0xCD,0x01,3,3,"Loads with latency value being above 4 ",0x3F6,0x4,1,0,0,0,0,1,"disable BL bypass, direct2core"
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_8,0xCD,0x01,3,3,"Loads with latency value being above 8",0x3F6,0x8,1,0,0,0,0,1,"disable BL bypass, direct2core"
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_16,0xCD,0x01,3,3,"Loads with latency value being above 16",0x3F6,0x10,1,0,0,0,0,1,"disable BL bypass, direct2core"
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_32,0xCD,0x01,3,3,"Loads with latency value being above 32",0x3F6,0x20,1,0,0,0,0,1,"disable BL bypass, direct2core"
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_64,0xCD,0x01,3,3,"Loads with latency value being above 64",0x3F6,0x40,1,0,0,0,0,1,"disable BL bypass, direct2core"
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_128,0xCD,0x01,3,3,"Loads with latency value being above 128",0x3F6,0x80,1,0,0,0,0,1,"disable BL bypass, direct2core"
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_256,0xCD,0x01,3,3,"Loads with latency value being above 256",0x3F6,0x100,1,0,0,0,0,1,"disable BL bypass, direct2core"
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_512,0xCD,0x01,3,3,"Loads with latency value being above 512",0x3F6,0x200,1,0,0,0,0,1,"disable BL bypass, direct2core"
MEM_TRANS_RETIRED.PRECISE_STORE,0xCD,0x02,3,3,"Sample stores and collect precise store operation via PEBS record. PMC3 only. (Precise Event - PEBS)",0,0,1,0,0,0,0,1,0
MEM_UOPS_RETIRED.STLB_MISS_LOADS,0xD0,0x11,"0,1,2,3","0,1,2,3","Load uops with true STLB miss retired to architected path. ",0,0,0,0,0,0,0,1,0
MEM_UOPS_RETIRED.STLB_MISS_STORES,0xD0,0x12,"0,1,2,3","0,1,2,3","Store uops with true STLB miss retired to architected path. ",0,0,0,0,0,0,0,1,0
MEM_UOPS_RETIRED.LOCK_LOADS,0xD0,0x21,"0,1,2,3","0,1,2,3","Load uops with locked access retired to architected path. ",0,0,0,0,0,0,0,1,0
MEM_UOPS_RETIRED.SPLIT_LOADS,0xD0,0x41,"0,1,2,3","0,1,2,3","Line-splitted load uops retired to architected path. ",0,0,0,0,0,0,0,1,0
MEM_UOPS_RETIRED.SPLIT_STORES,0xD0,0x42,"0,1,2,3","0,1,2,3","Line-splitted store uops retired to architected path. ",0,0,0,0,0,0,0,1,0
MEM_UOPS_RETIRED.ALL_LOADS,0xD0,0x81,"0,1,2,3","0,1,2,3","Load uops retired to architected path with filter on bits 0 and 1 applied. ",0,0,0,0,0,0,0,1,0
MEM_UOPS_RETIRED.ALL_STORES,0xD0,0x82,"0,1,2,3","0,1,2,3","Store uops retired to architected path with filter on bits 0 and 1 applied. ",0,0,0,0,0,0,0,1,0
MEM_LOAD_UOPS_RETIRED.L1_HIT,0xD1,0x01,"0,1,2,3","0,1,2,3","Retired load uops with L1 cache hits as data sources. ",0,0,0,0,0,0,0,1,0
MEM_LOAD_UOPS_RETIRED.L2_HIT,0xD1,0x02,"0,1,2,3","0,1,2,3","Retired load uops with L2 cache hits as data sources. ",0,0,0,0,0,0,0,1,0
MEM_LOAD_UOPS_RETIRED.LLC_HIT,0xD1,0x04,"0,1,2,3","0,1,2,3","Retired load uops which data sources were data hits in LLC without snoops required. ",0,0,0,0,0,0,0,1,"disable BL bypass "
MEM_LOAD_UOPS_RETIRED.LLC_MISS,0xD1,0x20,"0,1,2,3","0,1,2,3","Miss in last-level (L3) cache. Excludes Unknown data-source.",0,0,0,0,0,0,0,1,"disable BL bypass, direct2core"
MEM_LOAD_UOPS_RETIRED.HIT_LFB,0xD1,0x40,"0,1,2,3","0,1,2,3","Retired load uops which data sources were load uops missed L1 but hit FB due to preceding miss to the same cache line with data not ready. ",0,0,0,0,0,0,0,1,0
MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_MISS,0xD2,0x01,"0,1,2,3","0,1,2,3","Retired load uops which data sources were LLC hit and cross-core snoop missed in on-pkg core cache. ",0,0,0,0,0,0,0,1,"disable BL bypass "
MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HIT,0xD2,0x02,"0,1,2,3","0,1,2,3","Retired load uops which data sources were LLC and cross-core snoop hits in on-pkg core cache. ",0,0,0,0,0,0,0,1,"disable BL bypass "
MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HITM,0xD2,0x04,"0,1,2,3","0,1,2,3","Retired load uops which data sources were HitM responses from shared LLC. ",0,0,0,0,0,0,0,1,"disable BL bypass "
MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_NONE,0xD2,0x08,"0,1,2,3","0,1,2,3","Retired load uops which data sources were hits in LLC without snoops required. ",0,0,0,0,0,0,0,1,"disable BL bypass "
MEM_LOAD_UOPS_LLC_MISS_RETIRED.LOCAL_DRAM,0xD3,0x01,"0,1,2,3","0,1,2,3","Data from local DRAM either Snoop not needed or Snoop Miss (RspI)",0,0,0,0,0,0,0,1,"disable BL bypass, direct2core"
MEM_LOAD_UOPS_LLC_MISS_RETIRED.REMOTE_DRAM,0xD3,0x04,"0,1,2,3","0,1,2,3","Data from remote DRAM either Snoop not needed or Snoop Miss (RspI)",0,0,0,0,0,0,0,1,"disable BL bypass, direct2core"
ARITH.FPU_DIV_ACTIVE,0x14,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles when divider is busy executing divide operations",0,0,0,0,0,0,0,0,0
ARITH.FPU_DIV,0x14,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Divide operations executed",0,0,0,1,0,0,1,0,0
FP_COMP_OPS_EXE.X87,0x10,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Number of FP Computational Uops Executed this cycle. The number of FADD, FSUB, FCOM, FMULs, integer MULsand IMULs, FDIVs, FPREMs, FSQRTS, integer DIVs, and IDIVs. This event does not distinguish an FADD used in the middle of a transcendental flow from a s",0,0,0,0,0,0,0,0,0
FP_COMP_OPS_EXE.SSE_PACKED_DOUBLE,0x10,0x10,"0,1,2,3","0,1,2,3,4,5,6,7","Number of SSE* or AVX-128 FP Computational packed double-precision uops issued this cycle",0,0,0,0,0,0,0,0,0
FP_COMP_OPS_EXE.SSE_SCALAR_SINGLE,0x10,0x20,"0,1,2,3","0,1,2,3,4,5,6,7","Number of SSE* or AVX-128 FP Computational scalar single-precision uops issued this cycle",0,0,0,0,0,0,0,0,0
FP_COMP_OPS_EXE.SSE_PACKED_SINGLE,0x10,0x40,"0,1,2,3","0,1,2,3,4,5,6,7","Number of SSE* or AVX-128 FP Computational packed single-precision uops issued this cycle",0,0,0,0,0,0,0,0,0
FP_COMP_OPS_EXE.SSE_SCALAR_DOUBLE,0x10,0x80,"0,1,2,3","0,1,2,3,4,5,6,7","Number of SSE* or AVX-128 FP Computational scalar double-precision uops issued this cycle",0,0,0,0,0,0,0,0,0
SIMD_FP_256.PACKED_SINGLE,0x11,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","number of GSSE-256 Computational FP single precision uops issued this cycle",0,0,0,0,0,0,0,0,0
SIMD_FP_256.PACKED_DOUBLE,0x11,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","number of AVX-256 Computational FP double precision uops issued this cycle",0,0,0,0,0,0,0,0,0
UOPS_DISPATCHED.THREAD,0xB1,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Uops dispatched per thread",0,0,0,0,0,0,0,0,0
UOPS_DISPATCHED.STALL_CYCLES,0xB1,0x01,"0,1,2,3","0,1,2,3","Cases of no uops dispatched per thread",0,0,0,1,1,0,0,0,0
UOPS_DISPATCHED.CORE,0xB1,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Uops dispatched from any thread",0,0,0,0,0,0,0,0,0
UOPS_DISPATCHED_PORT.PORT_0,0xA1,0x01,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles per thread when uops are dispatched to port 0",0,0,0,0,0,0,0,0,0
UOPS_DISPATCHED_PORT.PORT_1,0xA1,0x02,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles per thread when uops are dispatched to port 1",0,0,0,0,0,0,0,0,0
UOPS_DISPATCHED_PORT.PORT_4,0xA1,0x40,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles per thread when uops are dispatched to port 4",0,0,0,0,0,0,0,0,0
UOPS_DISPATCHED_PORT.PORT_5,0xA1,0x80,"0,1,2,3","0,1,2,3,4,5,6,7","Cycles per thread when uops are dispatched to port 5",0,0,0,0,0,0,0,0,0
CYCLE_ACTIVITY.CYCLES_NO_DISPATCH,0xA3,0x04,"0,1,2,3","0,1,2,3","Each cycle there was no dispatch for this thread, increment by 1. Note this is connect to Umask 2. No dispatch can be deduced from the UOPS_EXECUTED event.",0,0,0,4,0,0,0,0,0
CYCLE_ACTIVITY.STALLS_L1D_PENDING,0xA3,0x06,2,2,"Each cycle there was a miss-pending demand load this thread and no uops dispatched, increment by 1. Note this is in DCU and connected to Umask 1 and 2. Miss Pending demand load should be deduced by OR-ing increment bits of DCACHE_MISS_PEND.PENDING.",0,0,0,6,0,0,0,0,0
CYCLE_ACTIVITY.STALLS_L2_PENDING,0xA3,0x05,"0,1,2,3","0,1,2,3","Each cycle there was a MLC-miss pending demand load and no uops dispatched on this thread (i.e. Non-completed valid SQ entry allocated for demand load and waiting for Uncore), increment by 1. Note this is in MLC and connected to Umask 0 and 2.",0,0,0,5,0,0,0,0,0
